gene	resp	score	count	site	signature
DFG5	14	2.01582968078012	34	NIBR|UBC	aromatic AA biosynthesis:14
PCL10	14	2.009794	34	NIBR|UBC	aromatic AA biosynthesis:14
RHO5	14	1.862047	34	NIBR|UBC	aromatic AA biosynthesis:14
ARO1	14	1.85498589518876	34	NIBR|UBC	aromatic AA biosynthesis:14
AGA1	14	1.845484	34	NIBR|UBC	aromatic AA biosynthesis:14
ADE6	14	1.777995	34	NIBR|UBC	aromatic AA biosynthesis:14
TKL1	14	1.7192145	34	NIBR|UBC	aromatic AA biosynthesis:14
TRS85	14	1.705162	34	NIBR|UBC	aromatic AA biosynthesis:14
IRS4	14	1.679327	34	NIBR|UBC	aromatic AA biosynthesis:14
RTT103	15	3.961293	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
THR1	15	3.297625	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
URA5	15	3.18658652262803	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
PPR1	15	3.155649	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
UBP13	15	3.11524	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
BRE2	15	3.09933206628452	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
RNA15	15	3.085947	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
URA4	15	2.709166	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
PAR32	15	2.697122	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
RPL30	15	2.601009	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
CDC73	15	2.55001425205361	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
FUI1	15	2.470333	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
DUF1	15	2.42431704690867	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
SPC3	15	2.405452	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
SPF1	15	2.242191	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
PTK2	15	2.210009	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
AIM4	15	2.2071797085	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
PMT2	15	2.13418	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
UBR1	15	2.076517	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
MCK1	15	1.96502	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
SIS2	15	1.950944	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
SUS1	15	1.9414315	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
SDC1	15	1.930436	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
PKR1	15	1.921933	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
TLG1	15	1.917452	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
RRG7	15	1.9115782	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
ACB1	15	1.89326064973899	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
ECM30	15	1.857779	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
PFK1	15	1.82464	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
SRP1	15	1.81203	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
SKY1	15	1.76207	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
CTR9	15	1.7618235	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
VTS1	15	1.757434	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
CLG1	15	1.7417414865247	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
UBP15	15	1.729936	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
MLF3	15	1.716805	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
STO1	15	1.70574535	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
SEC23	15	1.701196	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
EGD1	15	1.668124	51	NIBR|UBC	UTP biosynthesis; histone methylation:15
RIM2	16	7.153194	10	NIBR|UBC	heme biosynthesis & mitochondrial translocase:16
HEM12	16	4.239349	10	NIBR|UBC	heme biosynthesis & mitochondrial translocase:16
MIA40	16	3.215915	10	NIBR|UBC	heme biosynthesis & mitochondrial translocase:16
HEM3	16	2.697582	10	NIBR|UBC	heme biosynthesis & mitochondrial translocase:16
RPT6	16	1.851577	10	NIBR|UBC	heme biosynthesis & mitochondrial translocase:16
RPT3	16	1.775628	10	NIBR|UBC	heme biosynthesis & mitochondrial translocase:16
RPN5	16	1.760345	10	NIBR|UBC	heme biosynthesis & mitochondrial translocase:16
RPN3	16	1.711503	10	NIBR|UBC	heme biosynthesis & mitochondrial translocase:16
TOM40	16	1.705429	10	NIBR|UBC	heme biosynthesis & mitochondrial translocase:16
BCK1	17	12.05854	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
SLT2	17	10.23187	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
RHO1	17	8.967446	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
LDB7	17	3.910882	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
ROM2	17	3.607403	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
SSD1	17	3.4776805	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
IDP1	17	3.08323	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
RSC58	17	3.028094	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
SLG1	17	3.012252	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
GLC7	17	2.801029	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
RSC1	17	2.460715	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
RSC8	17	2.420499	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
RSC9	17	2.389736	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
APN1	17	2.334658	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
CHS3	17	2.310722923	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
SKT5	17	2.267185	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
ACK1	17	2.240486756	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
CHS6	17	2.186432	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
ACC1	17	2.15560410435642	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
HNT3	17	2.1531995	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
CIN8	17	2.092816	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
YBP2	17	2.086971	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
MID2	17	1.970013	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
ARP4	17	1.96800883309119	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
IES6	17	1.966811	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
STH1	17	1.959858	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
NBP2	17	1.89324	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
MSC1	17	1.819372	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
KRE2	17	1.818332	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
RGL1	17	1.793122	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
ACB1	17	1.77107735146582	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
CHS7	17	1.752931	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
IRS4	17	1.737302	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
MCM7	17	1.714599	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
BST1	17	1.710183	37	NIBR|UBC	RHO1 cell wall organization; staurosporine:17
HAL5	18	8.668498	86	NIBR|UBC	calmodulin; calmidazolium:18
JIP4	18	8.583804	86	NIBR|UBC	calmodulin; calmidazolium:18
SLM1	18	7.930223	86	NIBR|UBC	calmodulin; calmidazolium:18
TRK1	18	7.084368	86	NIBR|UBC	calmodulin; calmidazolium:18
KES1	18	6.820623	86	NIBR|UBC	calmodulin; calmidazolium:18
ZUO1	18	5.936184	86	NIBR|UBC	calmodulin; calmidazolium:18
SCS2	18	5.551147	86	NIBR|UBC	calmodulin; calmidazolium:18
CMD1	18	5.18080396454177	86	NIBR|UBC	calmodulin; calmidazolium:18
CMK2	18	4.76165054664185	86	NIBR|UBC	calmodulin; calmidazolium:18
SCH9	18	3.9689605	86	NIBR|UBC	calmodulin; calmidazolium:18
IMP2'	18	3.485586	86	NIBR|UBC	calmodulin; calmidazolium:18
SAC1	18	3.274014	86	NIBR|UBC	calmodulin; calmidazolium:18
SAT4	18	3.186616	86	NIBR|UBC	calmodulin; calmidazolium:18
PIN4	18	2.913875	86	NIBR|UBC	calmodulin; calmidazolium:18
SNT309	18	2.870745	86	NIBR|UBC	calmodulin; calmidazolium:18
SSZ1	18	2.751419	86	NIBR|UBC	calmodulin; calmidazolium:18
PSD2	18	2.735259	86	NIBR|UBC	calmodulin; calmidazolium:18
YPK1	18	2.716573	86	NIBR|UBC	calmodulin; calmidazolium:18
POP2	18	2.657977	86	NIBR|UBC	calmodulin; calmidazolium:18
ERG2	18	2.64776	86	NIBR|UBC	calmodulin; calmidazolium:18
ARF1	18	2.59631889665141	86	NIBR|UBC	calmodulin; calmidazolium:18
DHH1	18	2.5549947121395	86	NIBR|UBC	calmodulin; calmidazolium:18
IDP1	18	2.543188	86	NIBR|UBC	calmodulin; calmidazolium:18
VPS35	18	2.501504	86	NIBR|UBC	calmodulin; calmidazolium:18
TOM7	18	2.472455	86	NIBR|UBC	calmodulin; calmidazolium:18
RPL34B	18	2.444028	86	NIBR|UBC	calmodulin; calmidazolium:18
PSY4	18	2.389675	86	NIBR|UBC	calmodulin; calmidazolium:18
IMG1	18	2.361842	86	NIBR|UBC	calmodulin; calmidazolium:18
LDB16	18	2.361288	86	NIBR|UBC	calmodulin; calmidazolium:18
PAC10	18	2.33528435	86	NIBR|UBC	calmodulin; calmidazolium:18
YAP3	18	2.298584	86	NIBR|UBC	calmodulin; calmidazolium:18
PDR17	18	2.288787	86	NIBR|UBC	calmodulin; calmidazolium:18
ALG8	18	2.284758	86	NIBR|UBC	calmodulin; calmidazolium:18
VPS29	18	2.279653	86	NIBR|UBC	calmodulin; calmidazolium:18
LEM3	18	2.249733	86	NIBR|UBC	calmodulin; calmidazolium:18
PKH3	18	2.243917	86	NIBR|UBC	calmodulin; calmidazolium:18
CHS5	18	2.22028472425032	86	NIBR|UBC	calmodulin; calmidazolium:18
ALG6	18	2.21534213662494	86	NIBR|UBC	calmodulin; calmidazolium:18
AIM26	18	2.18034862819305	86	NIBR|UBC	calmodulin; calmidazolium:18
SSN8	18	2.164529	86	NIBR|UBC	calmodulin; calmidazolium:18
UBP13	18	2.15512	86	NIBR|UBC	calmodulin; calmidazolium:18
MCK1	18	2.15311	86	NIBR|UBC	calmodulin; calmidazolium:18
CYB5	18	2.131495	86	NIBR|UBC	calmodulin; calmidazolium:18
CTK3	18	2.11752693975311	86	NIBR|UBC	calmodulin; calmidazolium:18
VPS45	18	2.090576	86	NIBR|UBC	calmodulin; calmidazolium:18
MDM20	18	2.0763015	86	NIBR|UBC	calmodulin; calmidazolium:18
RSC1	18	2.073812	86	NIBR|UBC	calmodulin; calmidazolium:18
MED1	18	2.050244	86	NIBR|UBC	calmodulin; calmidazolium:18
VPS52	18	2.034834	86	NIBR|UBC	calmodulin; calmidazolium:18
VAN1	18	2.021686	86	NIBR|UBC	calmodulin; calmidazolium:18
SCP160	18	1.973515	86	NIBR|UBC	calmodulin; calmidazolium:18
CAF40	18	1.96640765487593	86	NIBR|UBC	calmodulin; calmidazolium:18
PHO80	18	1.923071	86	NIBR|UBC	calmodulin; calmidazolium:18
IRA2	18	1.903192	86	NIBR|UBC	calmodulin; calmidazolium:18
OSH2	18	1.897865	86	NIBR|UBC	calmodulin; calmidazolium:18
SFK1	18	1.836546	86	NIBR|UBC	calmodulin; calmidazolium:18
WSC2	18	1.819922	86	NIBR|UBC	calmodulin; calmidazolium:18
SLC1	18	1.813685	86	NIBR|UBC	calmodulin; calmidazolium:18
PET123	18	1.813352	86	NIBR|UBC	calmodulin; calmidazolium:18
RTT103	18	1.779949	86	NIBR|UBC	calmodulin; calmidazolium:18
AKR1	18	1.7572205	86	NIBR|UBC	calmodulin; calmidazolium:18
YIM1	18	1.744961	86	NIBR|UBC	calmodulin; calmidazolium:18
LST7	18	1.726478	86	NIBR|UBC	calmodulin; calmidazolium:18
PRO2	18	1.722594	86	NIBR|UBC	calmodulin; calmidazolium:18
APN1	18	1.68926546668129	86	NIBR|UBC	calmodulin; calmidazolium:18
HMG1	18	1.681651	86	NIBR|UBC	calmodulin; calmidazolium:18
CNB1	18	1.66430353263484	86	NIBR|UBC	calmodulin; calmidazolium:18
PIM1	18	1.662791	86	NIBR|UBC	calmodulin; calmidazolium:18
ERG4	18	1.657986	86	NIBR|UBC	calmodulin; calmidazolium:18
TDH1	18	1.653426	86	NIBR|UBC	calmodulin; calmidazolium:18
TOR1	19	19.197	102	NIBR|UBC	TOR signaling; rapamycin:19
KOG1	19	11.719375	102	NIBR|UBC	TOR signaling; rapamycin:19
SLM4	19	9.9421375	102	NIBR|UBC	TOR signaling; rapamycin:19
GTR1	19	9.2088375	102	NIBR|UBC	TOR signaling; rapamycin:19
FKS1	19	7.637301	102	NIBR|UBC	TOR signaling; rapamycin:19
MEH1	19	7.3547095	102	NIBR|UBC	TOR signaling; rapamycin:19
GTR2	19	7.327724	102	NIBR|UBC	TOR signaling; rapamycin:19
PKH1	19	6.355489	102	NIBR|UBC	TOR signaling; rapamycin:19
CKA2	19	5.62984575297941	102	NIBR|UBC	TOR signaling; rapamycin:19
VAC8	19	5.5524645	102	NIBR|UBC	TOR signaling; rapamycin:19
TCO89	19	5.3505275	102	NIBR|UBC	TOR signaling; rapamycin:19
PRS3	19	5.249981	102	NIBR|UBC	TOR signaling; rapamycin:19
RPL34B	19	4.9577915	102	NIBR|UBC	TOR signaling; rapamycin:19
ZUO1	19	4.610593	102	NIBR|UBC	TOR signaling; rapamycin:19
PIB2	19	3.858324	102	NIBR|UBC	TOR signaling; rapamycin:19
SIW14	19	3.576682	102	NIBR|UBC	TOR signaling; rapamycin:19
VAC17	19	3.4841165	102	NIBR|UBC	TOR signaling; rapamycin:19
CTR9	19	3.448952	102	NIBR|UBC	TOR signaling; rapamycin:19
KTI11	19	3.394233	102	NIBR|UBC	TOR signaling; rapamycin:19
LST8	19	3.348474	102	NIBR|UBC	TOR signaling; rapamycin:19
HBN1	19	3.218776	102	NIBR|UBC	TOR signaling; rapamycin:19
PHO80	19	3.193264	102	NIBR|UBC	TOR signaling; rapamycin:19
VPS41	19	3.1174865	102	NIBR|UBC	TOR signaling; rapamycin:19
LSM1	19	3.095759	102	NIBR|UBC	TOR signaling; rapamycin:19
PIN4	19	3.0297585	102	NIBR|UBC	TOR signaling; rapamycin:19
VAM7	19	3.007127	102	NIBR|UBC	TOR signaling; rapamycin:19
LST7	19	2.8753645	102	NIBR|UBC	TOR signaling; rapamycin:19
IKI1	19	2.85889	102	NIBR|UBC	TOR signaling; rapamycin:19
SEM1	19	2.838844	102	NIBR|UBC	TOR signaling; rapamycin:19
LSM6	19	2.834978	102	NIBR|UBC	TOR signaling; rapamycin:19
TIM18	19	2.8297485	102	NIBR|UBC	TOR signaling; rapamycin:19
YCK3	19	2.786132	102	NIBR|UBC	TOR signaling; rapamycin:19
VAM6	19	2.7563415	102	NIBR|UBC	TOR signaling; rapamycin:19
APL5	19	2.70146229907887	102	NIBR|UBC	TOR signaling; rapamycin:19
AVL9	19	2.69618954964179	102	NIBR|UBC	TOR signaling; rapamycin:19
DPH1	19	2.687925	102	NIBR|UBC	TOR signaling; rapamycin:19
LSM7	19	2.677479	102	NIBR|UBC	TOR signaling; rapamycin:19
SRV2	19	2.662653	102	NIBR|UBC	TOR signaling; rapamycin:19
ELO3	19	2.5926545	102	NIBR|UBC	TOR signaling; rapamycin:19
MOT3	19	2.545	102	NIBR|UBC	TOR signaling; rapamycin:19
VMA9	19	2.539059	102	NIBR|UBC	TOR signaling; rapamycin:19
POP2	19	2.451828	102	NIBR|UBC	TOR signaling; rapamycin:19
SLM1	19	2.374712	102	NIBR|UBC	TOR signaling; rapamycin:19
CDC20	19	2.36930078167224	102	NIBR|UBC	TOR signaling; rapamycin:19
LST4	19	2.354666	102	NIBR|UBC	TOR signaling; rapamycin:19
BMH1	19	2.34119968369642	102	NIBR|UBC	TOR signaling; rapamycin:19
APS3	19	2.30375106329211	102	NIBR|UBC	TOR signaling; rapamycin:19
VMA11	19	2.291549	102	NIBR|UBC	TOR signaling; rapamycin:19
CDC73	19	2.23362262604602	102	NIBR|UBC	TOR signaling; rapamycin:19
CST6	19	2.22470879751401	102	NIBR|UBC	TOR signaling; rapamycin:19
AKR1	19	2.216693	102	NIBR|UBC	TOR signaling; rapamycin:19
PTR2	19	2.2098205	102	NIBR|UBC	TOR signaling; rapamycin:19
VAM3	19	2.2089665	102	NIBR|UBC	TOR signaling; rapamycin:19
SLO1	19	2.203098	102	NIBR|UBC	TOR signaling; rapamycin:19
RPS8A	19	2.2013965	102	NIBR|UBC	TOR signaling; rapamycin:19
TOR2	19	2.191124	102	NIBR|UBC	TOR signaling; rapamycin:19
ASA1	19	2.13897711450806	102	NIBR|UBC	TOR signaling; rapamycin:19
CCR4	19	2.11919942478557	102	NIBR|UBC	TOR signaling; rapamycin:19
RPL23A	19	2.038642	102	NIBR|UBC	TOR signaling; rapamycin:19
NEM1	19	2.036329	102	NIBR|UBC	TOR signaling; rapamycin:19
SNT1	19	1.972868	102	NIBR|UBC	TOR signaling; rapamycin:19
ERG3	19	1.941666	102	NIBR|UBC	TOR signaling; rapamycin:19
PDR1	19	1.895245	102	NIBR|UBC	TOR signaling; rapamycin:19
OCA2	19	1.8606105	102	NIBR|UBC	TOR signaling; rapamycin:19
YPT7	19	1.847067	102	NIBR|UBC	TOR signaling; rapamycin:19
SWI6	19	1.835881	102	NIBR|UBC	TOR signaling; rapamycin:19
IME4	19	1.830904	102	NIBR|UBC	TOR signaling; rapamycin:19
SEC4	19	1.821912	102	NIBR|UBC	TOR signaling; rapamycin:19
DDR2	19	1.764848	102	NIBR|UBC	TOR signaling; rapamycin:19
APM3	19	1.76164491357795	102	NIBR|UBC	TOR signaling; rapamycin:19
URE2	19	1.7550135	102	NIBR|UBC	TOR signaling; rapamycin:19
APL6	19	1.74041900575232	102	NIBR|UBC	TOR signaling; rapamycin:19
SIF2	19	1.71877	102	NIBR|UBC	TOR signaling; rapamycin:19
VAN1	19	1.7166635	102	NIBR|UBC	TOR signaling; rapamycin:19
COG3	19	1.7036727321864	102	NIBR|UBC	TOR signaling; rapamycin:19
END3	19	1.698905	102	NIBR|UBC	TOR signaling; rapamycin:19
CCT5	19	1.6958894290296	102	NIBR|UBC	TOR signaling; rapamycin:19
WHI3	19	1.6832165	102	NIBR|UBC	TOR signaling; rapamycin:19
ERG4	19	1.6794085	102	NIBR|UBC	TOR signaling; rapamycin:19
VPS33	19	1.673224	102	NIBR|UBC	TOR signaling; rapamycin:19
THR1	20	10.920923	16	NIBR|UBC	branched chain AA biosynthesis:20
BAP2	20	6.50379741962187	16	NIBR|UBC	branched chain AA biosynthesis:20
HOM6	20	6.4015095	16	NIBR|UBC	branched chain AA biosynthesis:20
ARO7	20	4.949261	16	NIBR|UBC	branched chain AA biosynthesis:20
HOM3	20	3.995871	16	NIBR|UBC	branched chain AA biosynthesis:20
THR4	20	3.829308	16	NIBR|UBC	branched chain AA biosynthesis:20
ILV1	20	3.6566455	16	NIBR|UBC	branched chain AA biosynthesis:20
PRS3	20	2.551572	16	NIBR|UBC	branched chain AA biosynthesis:20
ARO2	20	2.38558224238779	16	NIBR|UBC	branched chain AA biosynthesis:20
ECM30	20	2.099428	16	NIBR|UBC	branched chain AA biosynthesis:20
UBP15	20	1.987523	16	NIBR|UBC	branched chain AA biosynthesis:20
HOM2	20	1.904261	16	NIBR|UBC	branched chain AA biosynthesis:20
ARO1	20	1.83672532690425	16	NIBR|UBC	branched chain AA biosynthesis:20
ERG11	21	22.985595	74	NIBR	ERG11-GCN; voriconazole:21
DAP1	21	10.7917860740175	74	NIBR	ERG11-GCN; voriconazole:21
TVP18	21	9.6216875	74	NIBR	ERG11-GCN; voriconazole:21
GCS1	21	8.4131285	74	NIBR	ERG11-GCN; voriconazole:21
PDR16	21	6.519346	74	NIBR	ERG11-GCN; voriconazole:21
LAA1	21	5.4934475	74	NIBR	ERG11-GCN; voriconazole:21
GCN2	21	5.400888	74	NIBR	ERG11-GCN; voriconazole:21
UPC2	21	5.042803	74	NIBR	ERG11-GCN; voriconazole:21
GCN4	21	4.9622275	74	NIBR	ERG11-GCN; voriconazole:21
GYP1	21	4.302242	74	NIBR	ERG11-GCN; voriconazole:21
PSD2	21	4.06074	74	NIBR	ERG11-GCN; voriconazole:21
GCN3	21	3.9452805	74	NIBR	ERG11-GCN; voriconazole:21
HMG1	21	3.9273365	74	NIBR	ERG11-GCN; voriconazole:21
PTR2	21	3.8900745	74	NIBR	ERG11-GCN; voriconazole:21
ARO3	21	3.61589312959985	74	NIBR	ERG11-GCN; voriconazole:21
NCP1	21	3.3376185	74	NIBR	ERG11-GCN; voriconazole:21
INP51	21	3.204	74	NIBR	ERG11-GCN; voriconazole:21
YPT31	21	3.1315875	74	NIBR	ERG11-GCN; voriconazole:21
SPT3	21	3.099565	74	NIBR	ERG11-GCN; voriconazole:21
PDR17	21	2.826345	74	NIBR	ERG11-GCN; voriconazole:21
APL2	21	2.81927455339182	74	NIBR	ERG11-GCN; voriconazole:21
OSH3	21	2.8072335	74	NIBR	ERG11-GCN; voriconazole:21
TRP2	21	2.754147	74	NIBR	ERG11-GCN; voriconazole:21
SND3	21	2.6745325	74	NIBR	ERG11-GCN; voriconazole:21
TRP1	21	2.639053	74	NIBR	ERG11-GCN; voriconazole:21
TRP4	21	2.636888	74	NIBR	ERG11-GCN; voriconazole:21
APS1	21	2.45416209190574	74	NIBR	ERG11-GCN; voriconazole:21
SLM1	21	2.396075	74	NIBR	ERG11-GCN; voriconazole:21
TKL1	21	2.3749795	74	NIBR	ERG11-GCN; voriconazole:21
APM1	21	2.37115913710256	74	NIBR	ERG11-GCN; voriconazole:21
DFG16	21	2.34010944202563	74	NIBR	ERG11-GCN; voriconazole:21
ARO1	21	2.33853973179071	74	NIBR	ERG11-GCN; voriconazole:21
DRS2	21	2.26016642110744	74	NIBR	ERG11-GCN; voriconazole:21
RIM101	21	2.255637	74	NIBR	ERG11-GCN; voriconazole:21
TRS33	21	2.197586	74	NIBR	ERG11-GCN; voriconazole:21
RIM13	21	2.170717	74	NIBR	ERG11-GCN; voriconazole:21
RCY1	21	2.1646435	74	NIBR	ERG11-GCN; voriconazole:21
SEC23	21	2.116896	74	NIBR	ERG11-GCN; voriconazole:21
SPT4	21	2.0949865	74	NIBR	ERG11-GCN; voriconazole:21
SEC66	21	2.0819205	74	NIBR	ERG11-GCN; voriconazole:21
SAC3	21	2.081676	74	NIBR	ERG11-GCN; voriconazole:21
REG1	21	2.0318335	74	NIBR	ERG11-GCN; voriconazole:21
VMA4	21	1.970013	74	NIBR	ERG11-GCN; voriconazole:21
RPL33A	21	1.9515985	74	NIBR	ERG11-GCN; voriconazole:21
IRE1	21	1.949049	74	NIBR	ERG11-GCN; voriconazole:21
RIM9	21	1.9190335	74	NIBR	ERG11-GCN; voriconazole:21
RIM20	21	1.8530165	74	NIBR	ERG11-GCN; voriconazole:21
UBP13	21	1.847078	74	NIBR	ERG11-GCN; voriconazole:21
YGR122W	21	1.811713	74	NIBR	ERG11-GCN; voriconazole:21
RIM21	21	1.773289	74	NIBR	ERG11-GCN; voriconazole:21
BRE2	21	1.76912208522033	74	NIBR	ERG11-GCN; voriconazole:21
RIM8	21	1.742128	74	NIBR	ERG11-GCN; voriconazole:21
SAC7	21	1.715928	74	NIBR	ERG11-GCN; voriconazole:21
BST1	21	1.70582795602403	74	NIBR	ERG11-GCN; voriconazole:21
ALF1	21	1.70225182644863	74	NIBR	ERG11-GCN; voriconazole:21
RPN4	21	1.671205	74	NIBR	ERG11-GCN; voriconazole:21
OPI3	21	1.66893	74	NIBR	ERG11-GCN; voriconazole:21
URA4	21	1.648602	74	NIBR	ERG11-GCN; voriconazole:21
MFT1	22	5.3937645	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
SPT4	22	4.9269895	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
THP2	22	4.923057	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
GAL11	22	4.66496	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
YPK1	22	3.962083	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
SPT7	22	3.3175285	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
CTR9	22	2.9486075	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
RPA12	22	2.33895	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
AKR1	22	2.2454735	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
YBR085C-A	22	1.8946535	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
AIM26	22	1.80558839756041	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
SAC3	22	1.771476	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
GSF2	22	1.726896	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
ARG3	22	1.6883444	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
ERV14	22	1.6835495	22	NIBR|UBC	transcription elongation; TREX/THO CMPLX:22
POP1	23	11.83591	11	NIBR|UBC	transcription inhibitors; 6-azauracil:23
POP4	23	5.445419	11	NIBR|UBC	transcription inhibitors; 6-azauracil:23
RPP1	23	4.544519	11	NIBR|UBC	transcription inhibitors; 6-azauracil:23
POP7	23	3.019573	11	NIBR|UBC	transcription inhibitors; 6-azauracil:23
GCD1	23	2.614223	11	NIBR|UBC	transcription inhibitors; 6-azauracil:23
GCD2	23	2.592052	11	NIBR|UBC	transcription inhibitors; 6-azauracil:23
RET1	23	2.2144	11	NIBR|UBC	transcription inhibitors; 6-azauracil:23
RPC53	23	2.033146	11	NIBR|UBC	transcription inhibitors; 6-azauracil:23
RPO31	23	1.793287	11	NIBR|UBC	transcription inhibitors; 6-azauracil:23
RSC9	25	8.064036	50	UBC	RSC complex & mRNA processing:25
RSC8	25	7.618764	50	UBC	RSC complex & mRNA processing:25
RSC58	25	7.211084	50	UBC	RSC complex & mRNA processing:25
YTH1	25	5.946119	50	UBC	RSC complex & mRNA processing:25
ARP7	25	5.66529605675182	50	UBC	RSC complex & mRNA processing:25
ACC1	25	5.45479607925922	50	UBC	RSC complex & mRNA processing:25
RPB7	25	5.240126	50	UBC	RSC complex & mRNA processing:25
ARP4	25	5.1508055186837	50	UBC	RSC complex & mRNA processing:25
SPC105	25	5.05788	50	UBC	RSC complex & mRNA processing:25
PAB1	25	4.497185	50	UBC	RSC complex & mRNA processing:25
ARP9	25	4.47367305892388	50	UBC	RSC complex & mRNA processing:25
RPL32	25	3.923345	50	UBC	RSC complex & mRNA processing:25
LSM2	25	3.727498	50	UBC	RSC complex & mRNA processing:25
SPB4	25	3.467891	50	UBC	RSC complex & mRNA processing:25
SFH1	25	3.351184	50	UBC	RSC complex & mRNA processing:25
TFC3	25	3.336813	50	UBC	RSC complex & mRNA processing:25
DFR1	25	3.32212577739138	50	UBC	RSC complex & mRNA processing:25
STH1	25	3.055347	50	UBC	RSC complex & mRNA processing:25
