GOID	term	gene	geneSetSize
GO:0090306	SPINDLE ASSEMBLY INVOLVED IN MEIOSIS	CDC5	1
GO:0051255	SPINDLE MIDZONE ASSEMBLY	ASE1	1
GO:0000393	SPLICEOSOMAL CONFORMATIONAL CHANGES TO GENERATE CATALYTIC CONFORMATION	PRP4	1
GO:0009847	SPORE GERMINATION	UME6	1
GO:0043934	SPORULATION	CDC10	1
GO:0006617	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE, SIGNAL SEQUENCE RECOGNITION	SEC65	1
GO:0030322	STABILIZATION OF MEMBRANE POTENTIAL	TOK1	1
GO:0008202	STEROID METABOLIC PROCESS	ATF2	1
GO:0034209	STEROL ACETYLATION	ATF2	1
GO:0034210	STEROL DEACETYLATION	SAY1	1
GO:0051403	STRESS-ACTIVATED MAPK CASCADE	HOG1	1
GO:0006080	SUBSTITUTED MANNAN METABOLIC PROCESS	HOC1	1
GO:0006105	SUCCINATE METABOLIC PROCESS	SDH7	1
GO:0071422	SUCCINATE TRANSMEMBRANE TRANSPORT	DIC1	1
GO:0015744	SUCCINATE TRANSPORT	SFC1	1
GO:0005986	SUCROSE BIOSYNTHETIC PROCESS	FBP1	1
GO:0009745	SUCROSE MEDIATED SIGNALING	GPR1	1
GO:0010134	SULFATE ASSIMILATION VIA ADENYLYL SULFATE REDUCTION	MET3	1
GO:0000097	SULFUR AMINO ACID BIOSYNTHETIC PROCESS	MET5	1
GO:0000101	SULFUR AMINO ACID TRANSPORT	MUP1	1
GO:0044273	SULFUR COMPOUND CATABOLIC PROCESS	JLP1	1
GO:0072348	SULFUR COMPOUND TRANSPORT	SOA1	1
GO:0070194	SYNAPTONEMAL COMPLEX DISASSEMBLY	CDC5	1
GO:0032202	TELOMERE ASSEMBLY	HRQ1	1
GO:0032200	TELOMERE ORGANIZATION	ECO1	1
GO:0006386	TERMINATION OF RNA POLYMERASE III TRANSCRIPTION	RPC11	1
GO:0016114	TERPENOID BIOSYNTHETIC PROCESS	BTS1	1
GO:0051485	TERPENOID BIOSYNTHETIC PROCESS, MEVALONATE-DEPENDENT	YPL062W	1
GO:0006729	TETRAHYDROBIOPTERIN BIOSYNTHETIC PROCESS	FOL2	1
GO:0046901	TETRAHYDROFOLYLPOLYGLUTAMATE BIOSYNTHETIC PROCESS	MET7	1
GO:0009230	THIAMINE CATABOLIC PROCESS	THI20	1
GO:0009229	THIAMINE DIPHOSPHATE BIOSYNTHETIC PROCESS	THI80	1
GO:0006772	THIAMINE METABOLIC PROCESS	PET18	1
GO:0042723	THIAMINE-CONTAINING COMPOUND METABOLIC PROCESS	PHO3	1
GO:0052837	THIAZOLE BIOSYNTHETIC PROCESS	THI4	1
GO:0015709	THIOSULFATE TRANSPORT	DIC1	1
GO:0006392	TRANSCRIPTION ELONGATION FROM MITOCHONDRIAL PROMOTER	MSS116	1
GO:0006391	TRANSCRIPTION INITIATION FROM MITOCHONDRIAL PROMOTER	MTF1	1
GO:0006451	TRANSLATIONAL READTHROUGH	MTQ1	1
GO:0070414	TREHALOSE METABOLISM IN RESPONSE TO HEAT STRESS	HSP104	1
GO:0006842	TRICARBOXYLIC ACID TRANSPORT	YHM2	1
GO:0070328	TRIGLYCERIDE HOMEOSTASIS	PHM8	1
GO:0001680	TRNA 3'-TERMINAL CCA ADDITION	CCA1	1
GO:0034414	TRNA 3'-TRAILER CLEAVAGE, ENDONUCLEOLYTIC	TRZ1	1
GO:0034415	TRNA 3'-TRAILER CLEAVAGE, EXONUCLEOLYTIC	RNH70	1
GO:0043039	TRNA AMINOACYLATION	MSY1	1
GO:0016078	TRNA CATABOLIC PROCESS	XRN1	1
GO:0002943	TRNA DIHYDROURIDINE SYNTHESIS	SMM1	1
GO:0016031	TRNA IMPORT INTO MITOCHONDRION	TOM20	1
GO:0006399	TRNA METABOLIC PROCESS	DTD1	1
GO:0002939	TRNA N1-GUANINE METHYLATION	TRM5	1
GO:0002940	TRNA N2-GUANINE METHYLATION	TRM1	1
GO:0034227	TRNA THIO-MODIFICATION	NFS1	1
GO:0051031	TRNA TRANSPORT	MTR10	1
GO:0002100	TRNA WOBBLE ADENOSINE TO INOSINE EDITING	TAD2	1
GO:0002127	TRNA WOBBLE BASE CYTOSINE METHYLATION	NCL1	1
GO:0006570	TYROSINE METABOLIC PROCESS	TYR1	1
GO:0015828	TYROSINE TRANSPORT	TAT1	1
GO:0006437	TYROSYL-TRNA AMINOACYLATION	TYS1	1
GO:1903241	U2-TYPE PRESPLICEOSOME ASSEMBLY	CUS2	1
GO:0034477	U6 SNRNA 3'-END PROCESSING	USB1	1
GO:0032180	UBIQUINONE BIOSYNTHETIC PROCESS FROM TYROSINE	HFD1	1
GO:0006225	UDP BIOSYNTHETIC PROCESS	URA6	1
GO:0006256	UDP CATABOLIC PROCESS	YND1	1
GO:0072334	UDP-GALACTOSE TRANSMEMBRANE TRANSPORT	HUT1	1
GO:1990569	UDP-N-ACETYLGLUCOSAMINE TRANSMEMBRANE TRANSPORT	YEA4	1
GO:0006222	UMP BIOSYNTHETIC PROCESS	URA3	1
GO:0009826	UNIDIMENSIONAL CELL GROWTH	MYO2	1
GO:0006636	UNSATURATED FATTY ACID BIOSYNTHETIC PROCESS	OLE1	1
GO:0006212	URACIL CATABOLIC PROCESS	URC2	1
GO:0015857	URACIL TRANSPORT	FUR4	1
GO:0043419	UREA CATABOLIC PROCESS	DUR1,2	1
GO:0000050	UREA CYCLE	ARG1	1
GO:0006218	URIDINE CATABOLIC PROCESS	URH1	1
GO:0015862	URIDINE TRANSPORT	FUI1	1
GO:0006780	UROPORPHYRINOGEN III BIOSYNTHETIC PROCESS	HEM4	1
GO:0034486	VACUOLAR TRANSMEMBRANE TRANSPORT	VHC1	1
GO:0006438	VALYL-TRNA AMINOACYLATION	VAS1	1
GO:0006901	VESICLE COATING	SEC28	1
GO:0006903	VESICLE TARGETING	MLC1	1
GO:0047496	VESICLE TRANSPORT ALONG MICROTUBULE	PAC1	1
GO:0006805	XENOBIOTIC METABOLIC PROCESS	ECM38	1
GO:0042908	XENOBIOTIC TRANSPORT	YOR1	1
GO:0005999	XYLULOSE BIOSYNTHETIC PROCESS	XYL2	1
GO:0005998	XYLULOSE CATABOLIC PROCESS	XKS1	1
GO:0005997	XYLULOSE METABOLIC PROCESS	XKS1	1
GO:0044208	'DE NOVO' AMP BIOSYNTHETIC PROCESS	ADE12|ADE13	2
GO:0006666	3-KETO-SPHINGANINE METABOLIC PROCESS	TSC10|TSC3	2
GO:0036261	7-METHYLGUANOSINE CAP HYPERMETHYLATION	SWM2|TGS1	2
GO:1901089	ACETATE ESTER METABOLIC PROCESS INVOLVED IN FERMENTATION	ATF1|ATF2	2
GO:0006083	ACETATE METABOLIC PROCESS	ACH1|IAH1	2
GO:0006846	ACETATE TRANSPORT	ADY2|FPS1	2
GO:0006085	ACETYL-COA BIOSYNTHETIC PROCESS	ACS1|ACS2	2
GO:0030029	ACTIN FILAMENT-BASED PROCESS	SAC3|VPS52	2
GO:0000185	ACTIVATION OF MAPKKK ACTIVITY	SSK1|STE20	2
GO:0046084	ADENINE BIOSYNTHETIC PROCESS	ADE5,7|ADE8	2
GO:0006168	ADENINE SALVAGE	APT1|APT2	2
GO:0007193	ADENYLATE CYCLASE-INHIBITING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY	IRA1|IRA2	2
GO:1901605	ALPHA-AMINO ACID METABOLIC PROCESS	ARO8|ARO9	2
GO:0015917	AMINOPHOSPHOLIPID TRANSPORT	MDM12|MMM1	2
GO:0046033	AMP METABOLIC PROCESS	ADK2|AMD1	2
GO:0044209	AMP SALVAGE	APT1|APT2	2
GO:0009061	ANAEROBIC RESPIRATION	AAC3|PET9	2
GO:0006309	APOPTOTIC DNA FRAGMENTATION	NUC1|YBL055C	2
GO:0008637	APOPTOTIC MITOCHONDRIAL CHANGES	HSP60|TCM62	2
GO:0042450	ARGININE BIOSYNTHETIC PROCESS VIA ORNITHINE	ARG3|ARG4	2
GO:0006420	ARGINYL-TRNA AMINOACYLATION	MSR1|YDR341C	2
GO:0009072	AROMATIC AMINO ACID FAMILY METABOLIC PROCESS	ARO8|ARO9	2
GO:1901684	ARSENATE ION TRANSMEMBRANE TRANSPORT	FET3|FTR1	2
GO:0015700	ARSENITE TRANSPORT	ARR3|FPS1	2
GO:0006529	ASPARAGINE BIOSYNTHETIC PROCESS	ASN1|ASN2	2
GO:0006421	ASPARAGINYL-TRNA AMINOACYLATION	DED81|SLM5	2
GO:0006287	BASE-EXCISION REPAIR, GAP-FILLING	POL2|POL3	2
GO:0034490	BASIC AMINO ACID TRANSMEMBRANE IMPORT INTO VACUOLE	VSB1|YPQ2	2
GO:0019483	BETA-ALANINE BIOSYNTHETIC PROCESS	ALD2|ALD3	2
GO:0015723	BILIRUBIN TRANSPORT	BPT1|YCF1	2
GO:0046713	BORATE TRANSPORT	ATR1|BOR1	2
GO:0000493	BOX H/ACA SNORNP ASSEMBLY	NAF1|SHQ1	2
GO:0009083	BRANCHED-CHAIN AMINO ACID CATABOLIC PROCESS	BAT1|BAT2	2
GO:0034079	BUTANEDIOL BIOSYNTHETIC PROCESS	BDH1|BDH2	2
GO:0006481	C-TERMINAL PROTEIN METHYLATION	PPM1|STE14	2
GO:0071586	CAAX-BOX PROTEIN PROCESSING	RCE1|STE24	2
GO:0097720	CALCINEURIN-MEDIATED SIGNALING	CMP2|CNA1	2
GO:0098703	CALCIUM ION IMPORT ACROSS PLASMA MEMBRANE	MID1|YVC1	2
GO:0019933	CAMP-MEDIATED SIGNALING	PDE2|SRV2	2
GO:0061621	CANONICAL GLYCOLYSIS	PFK1|PFK2	2
GO:0046942	CARBOXYLIC ACID TRANSPORT	JEN1|TNA1	2
GO:0006657	CDP-CHOLINE PATHWAY	CPT1|PCT1	2
GO:0016024	CDP-DIACYLGLYCEROL BIOSYNTHETIC PROCESS	CDS1|TAM41	2
GO:0098609	CELL-CELL ADHESION	FLO11|SAG1	2
GO:0031589	CELL-SUBSTRATE ADHESION	FLO5|FLO9	2
GO:0043605	CELLULAR AMIDE CATABOLIC PROCESS	NIT2|NIT3	2
GO:0006725	CELLULAR AROMATIC COMPOUND METABOLIC PROCESS	YDL124W|YGL039W	2
GO:0070370	CELLULAR HEAT ACCLIMATION	HSP104|HSP78	2
GO:0042180	CELLULAR KETONE METABOLIC PROCESS	YDL124W|YGL039W	2
GO:0044267	CELLULAR PROTEIN METABOLIC PROCESS	CPR1|VMA1	2
GO:0006464	CELLULAR PROTEIN MODIFICATION PROCESS	HUB1|NTA1	2
GO:0071243	CELLULAR RESPONSE TO ARSENIC-CONTAINING SUBSTANCE	CUZ1|TMC1	2
GO:0071483	CELLULAR RESPONSE TO BLUE LIGHT	CRZ1|MSN2	2
GO:0071244	CELLULAR RESPONSE TO CARBON DIOXIDE	CST6|NCE103	2
GO:0070417	CELLULAR RESPONSE TO COLD	IRA2|SPT23	2
GO:0035690	CELLULAR RESPONSE TO DRUG	PMP3|TRM9	2
GO:0071361	CELLULAR RESPONSE TO ETHANOL	FLO1|HSP30	2
GO:0071480	CELLULAR RESPONSE TO GAMMA RADIATION	YKU70|YKU80	2
GO:0071456	CELLULAR RESPONSE TO HYPOXIA	IXR1|UPC2	2
GO:0071500	CELLULAR RESPONSE TO NITROSATIVE STRESS	YHB1|YNL234W	2
GO:0071467	CELLULAR RESPONSE TO PH	DFG16|RIM21	2
GO:0097237	CELLULAR RESPONSE TO TOXIC SUBSTANCE	DAK1|DAK2	2
GO:0034644	CELLULAR RESPONSE TO UV	MIG3|RSP5	2
GO:0071481	CELLULAR RESPONSE TO X-RAY	YKU70|YKU80	2
GO:0035356	CELLULAR TRIGLYCERIDE HOMEOSTASIS	DGA1|LOA1	2
GO:0034508	CENTROMERE COMPLEX ASSEMBLY	BUB1|SGO1	2
GO:0046514	CERAMIDE CATABOLIC PROCESS	YDC1|YPC1	2
GO:1902476	CHLORIDE TRANSMEMBRANE TRANSPORT	IST2|VHC1	2
GO:0070827	CHROMATIN MAINTENANCE	SPN1|SPT6	2
GO:0051304	CHROMOSOME SEPARATION	SMC5|SMC6	2
GO:0046281	CINNAMIC ACID CATABOLIC PROCESS	FDC1|PAD1	2
GO:0006101	CITRATE METABOLIC PROCESS	CIT1|CIT2	2
GO:0048268	CLATHRIN COAT ASSEMBLY	CLC1|SLA2	2
GO:0072318	CLATHRIN COAT DISASSEMBLY	SSA1|SWA2	2
GO:0035653	CLATHRIN-COATED VESICLE CARGO LOADING, AP-1-MEDIATED	LAA1|LAA2	2
GO:0006824	COBALT ION TRANSPORT	COT1|SMF2	2
GO:0060003	COPPER ION EXPORT	CCC2|QDR2	2
GO:0006825	COPPER ION TRANSPORT	ATX1|SMF1	2
GO:0016569	COVALENT CHROMATIN MODIFICATION	SAS3|YNG2	2
GO:0006241	CTP BIOSYNTHETIC PROCESS	URA7|URA8	2
GO:0018890	CYANAMIDE METABOLIC PROCESS	DDI2|DDI3	2
GO:0061504	CYCLIC THREONYLCARBAMOYLADENOSINE BIOSYNTHETIC PROCESS	TCD1|TCD2	2
GO:0019344	CYSTEINE BIOSYNTHETIC PROCESS	CYS3|MET17	2
GO:0006216	CYTIDINE CATABOLIC PROCESS	CDD1|URH1	2
GO:0051220	CYTOPLASMIC SEQUESTERING OF PROTEIN	PTP3|WHI3	2
GO:0042994	CYTOPLASMIC SEQUESTERING OF TRANSCRIPTION FACTOR	LOT6|URE2	2
GO:0002184	CYTOPLASMIC TRANSLATIONAL TERMINATION	SUP35|SUP45	2
GO:0070485	DEHYDRO-D-ARABINONO-1,4-LACTONE BIOSYNTHETIC PROCESS	ALO1|ARA2	2
GO:0009159	DEOXYRIBONUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS	YBR242W|YGK1	2
GO:0009594	DETECTION OF NUTRIENT	HAL5|SAT4	2
GO:0071585	DETOXIFICATION OF CADMIUM ION	CUP1-1|CUP1-2	2
GO:0010273	DETOXIFICATION OF COPPER ION	CUP1-1|CUP1-2	2
GO:0042938	DIPEPTIDE TRANSPORT	DAL5|PTR2	2
GO:0071543	DIPHOSPHOINOSITOL POLYPHOSPHATE METABOLIC PROCESS	DDP1|SIW14	2
GO:0006975	DNA DAMAGE INDUCED PROTEIN PHOSPHORYLATION	MEC1|TEL1	2
GO:0042769	DNA DAMAGE RESPONSE, DETECTION OF DNA DAMAGE	FUM1|RTT103	2
GO:0006307	DNA DEALKYLATION INVOLVED IN DNA REPAIR	MAG1|MGT1	2
GO:0010791	DNA DOUBLE-STRAND BREAK PROCESSING INVOLVED IN REPAIR VIA SYNTHESIS-DEPENDENT STRAND ANNEALING	MRE11|SAE2	2
GO:0032392	DNA GEOMETRIC CHANGE	RAD54|RDH54	2
GO:0042262	DNA PROTECTION	SRS2|TSA1	2
GO:0045004	DNA REPLICATION PROOFREADING	POL2|POL3	2
GO:0033567	DNA REPLICATION, OKAZAKI FRAGMENT PROCESSING	MGS1|MPH1	2
GO:0000733	DNA STRAND RENATURATION	MGM101|SLD2	2
GO:0051027	DNA TRANSPORT	POR1|POR2	2
GO:0001112	DNA-TEMPLATED TRANSCRIPTION OPEN COMPLEX FORMATION	BDP1|BRF1	2
GO:0006231	DTMP BIOSYNTHETIC PROCESS	CDC21|DCD1	2
GO:0006226	DUMP BIOSYNTHETIC PROCESS	DCD1|DUT1	2
GO:0071788	ENDOPLASMIC RETICULUM TUBULAR NETWORK MAINTENANCE	RTN1|RTN2	2
GO:0061817	ENDOPLASMIC RETICULUM-PLASMA MEMBRANE TETHERING	SCS2|SCS22	2
GO:0006112	ENERGY RESERVE METABOLIC PROCESS	RGI1|RGI2	2
GO:1904902	ESCRT III COMPLEX ASSEMBLY	DID2|SNF7	2
GO:0034089	ESTABLISHMENT OF MEIOTIC SISTER CHROMATID COHESION	CHL4|IML3	2
GO:0070199	ESTABLISHMENT OF PROTEIN LOCALIZATION TO CHROMOSOME	RTS1|SGO1	2
GO:0034085	ESTABLISHMENT OF SISTER CHROMATID COHESION	CHL1|CTF4	2
GO:0043458	ETHANOL BIOSYNTHETIC PROCESS INVOLVED IN GLUCOSE FERMENTATION TO ETHANOL	ADH1|ADH5	2
GO:0097010	EUKARYOTIC TRANSLATION INITIATION FACTOR 4F COMPLEX ASSEMBLY	NOP13|TIF3	2
GO:0000465	EXONUCLEOLYTIC TRIMMING TO GENERATE MATURE 5'-END OF 5.8S RRNA FROM TRICISTRONIC RRNA TRANSCRIPT (SSU-RRNA, 5.8S RRNA, LSU-RRNA)	BRX1|RLP7	2
GO:0045337	FARNESYL DIPHOSPHATE BIOSYNTHETIC PROCESS	ERG20|IDI1	2
GO:0001561	FATTY ACID ALPHA-OXIDATION	MPO1|PXP1	2
GO:0019395	FATTY ACID OXIDATION	PEX11|TES1	2
GO:0044182	FILAMENTOUS GROWTH OF A POPULATION OF UNICELLULAR ORGANISMS	FIG2|FLO10	2
GO:1903424	FLUORIDE TRANSMEMBRANE TRANSPORT	FEX1|FEX2	2
GO:0046655	FOLIC ACID METABOLIC PROCESS	SHM1|SHM2	2
GO:0046294	FORMALDEHYDE CATABOLIC PROCESS	SFA1|YJL068C	2
GO:0032445	FRUCTOSE IMPORT	HXK1|HXK2	2
GO:0033859	FURALDEHYDE METABOLIC PROCESS	ADH6|SFA1	2
GO:0071919	G-QUADRUPLEX DNA FORMATION	EST1|RAP1	2
GO:0015812	GAMMA-AMINOBUTYRIC ACID TRANSPORT	PUT4|UGA4	2
GO:0009298	GDP-MANNOSE BIOSYNTHETIC PROCESS	PMI40|PSA1	2
GO:0019255	GLUCOSE 1-PHOSPHATE METABOLIC PROCESS	PGM1|PGM2	2
GO:0006538	GLUTAMATE CATABOLIC PROCESS	GAD1|GDH2	2
GO:0006541	GLUTAMINE METABOLIC PROCESS	NIT3|URA2	2
GO:0006425	GLUTAMINYL-TRNA AMINOACYLATION	GLN4|GUS1	2
GO:0006424	GLUTAMYL-TRNA AMINOACYLATION	GUS1|MSE1	2
GO:0006750	GLUTATHIONE BIOSYNTHETIC PROCESS	GSH1|GSH2	2
GO:0034775	GLUTATHIONE TRANSMEMBRANE TRANSPORT	GEX1|GEX2	2
GO:0006072	GLYCEROL-3-PHOSPHATE METABOLIC PROCESS	GPD1|GPD2	2
GO:0015794	GLYCEROL-3-PHOSPHATE TRANSMEMBRANE TRANSPORT	GIT1|PHO91	2
GO:0019264	GLYCINE BIOSYNTHETIC PROCESS FROM SERINE	SHM1|SHM2	2
GO:0006546	GLYCINE CATABOLIC PROCESS	GCV3|LPD1	2
GO:1904983	GLYCINE IMPORT INTO MITOCHONDRION	HEM25|YMC1	2
GO:0006426	GLYCYL-TRNA AMINOACYLATION	GRS1|GRS2	2
GO:0032263	GMP SALVAGE	HPT1|XPT1	2
GO:0051645	GOLGI LOCALIZATION	RET2|YPT11	2
GO:0048193	GOLGI VESICLE TRANSPORT	COY1|GOS1	2
GO:0006505	GPI ANCHOR METABOLIC PROCESS	BST1|CWH43	2
GO:0046115	GUANOSINE CATABOLIC PROCESS	PNP1|PRM15	2
GO:0070829	HETEROCHROMATIN MAINTENANCE	FUN30|ISW1	2
GO:0009757	HEXOSE MEDIATED SIGNALING	GPA2|GPR1	2
GO:0019318	HEXOSE METABOLIC PROCESS	SOR1|SOR2	2
GO:1990258	HISTONE GLUTAMINE METHYLATION	NOP1|YMR265C	2
GO:0033523	HISTONE H2B UBIQUITINATION	ASF1|UBX3	2
GO:0034968	HISTONE LYSINE METHYLATION	SET5|SET6	2
GO:0016571	HISTONE METHYLATION	LGE1|SET2	2
GO:0010390	HISTONE MONOUBIQUITINATION	BRE1|RAD6	2
GO:0016572	HISTONE PHOSPHORYLATION	MEC1|TEL1	2
GO:0035404	HISTONE-SERINE PHOSPHORYLATION	CLA4|STE20	2
GO:0009092	HOMOSERINE METABOLIC PROCESS	MET2|THR1	2
GO:0042538	HYPEROSMOTIC SALINITY RESPONSE	CIN5|MET22	2
GO:0046100	HYPOXANTHINE METABOLIC PROCESS	HPT1|XPT1	2
GO:0032264	IMP SALVAGE	HPT1|XPT1	2
GO:0006148	INOSINE CATABOLIC PROCESS	PNP1|PRM15	2
GO:0046907	INTRACELLULAR TRANSPORT	KSH1|PFY1	2
GO:0050801	ION HOMEOSTASIS	BOR1|CRZ1	2
GO:0006811	ION TRANSPORT	ADY2|AIM14|ANT1|ARN1|ARN2|ARR3|ATM1|ATO2|ATO3|ATP1|ATP14|ATP15|ATP16|ATP17|ATP18|ATP19|ATP2|ATP20|ATP3|ATP4|ATP5|ATP7|ATX1|BOR1|CCC2|CCH1|CSC1|CTR1|CTR2|CTR3|EMP70|ENA1|ENA2|ENA5|ENB1|FET3|FET4|FET5|FIT1|FIT2|FIT3|FRE1|FRE2|FRE3|FRE4|FRE5|FRE6|FRE7|FRE8|FSF1|FTH1|FTR1|GEF1|GEX1|GEX2|GMC1|HSP30|KCH1|KHA1|MFM1|MID1|MMT1|MMT2|MRH1|MRS2|MSC2|NHA1|NHX1|PCA1|PHM7|PMA1|PMA2|PMC1|PMR1|POR1|POR2|PRM6|QDR2|RCH1|RSN1|SIT1|SMF3|SPO75|STV1|TIM11|TMN2|TMN3|TOK1|TOM40|TRK1|TRK2|VCX1|VHC1|VMA1|VMA10|VMA11|VMA13|VMA16|VMA2|VMA3|VMA4|VMA5|VMA6|VMA7|VMA8|VMA9|VNX1|VPH1|YBT1|YDL206W|YFH1|YHK8|YKE4|YRO2|YVC1|ZRC1|ZRT1|ZRT2|ZRT3	119
GO:0048250	IRON IMPORT INTO THE MITOCHONDRION	MRS3|MRS4	2
GO:0055072	IRON ION HOMEOSTASIS	ARN1|ARN2|ATM1|ENB1|FET3|FET4|FET5|FIT1|FIT2|FIT3|FRE1|FRE2|FRE3|FRE4|FRE6|FRE7|FRE8|FTH1|FTR1|GMC1|LSO1|LSO2|MMT1|MMT2|SIT1|SMF3|YFH1	27
GO:0006428	ISOLEUCYL-TRNA AMINOACYLATION	ILS1|ISM1	2
GO:0000741	KARYOGAMY	MPS2|MPS3	2
GO:0051383	KINETOCHORE ORGANIZATION	NUF2|SGO1	2
GO:1903457	LACTATE CATABOLIC PROCESS	DLD1|DLD2	2
GO:0006552	LEUCINE CATABOLIC PROCESS	ARO10|LPD1	2
GO:0006429	LEUCYL-TRNA AMINOACYLATION	CDC60|NAM2	2
GO:0008610	LIPID BIOSYNTHETIC PROCESS	CAX4|CRD1	2
GO:0140042	LIPID DROPLET FORMATION	NEM1|SEI1	2
GO:0009107	LIPOATE BIOSYNTHETIC PROCESS	ACP1|LIP5	2
GO:0015910	LONG-CHAIN FATTY ACID IMPORT INTO PEROXISOME	PXA1|PXA2	2
GO:0009085	LYSINE BIOSYNTHETIC PROCESS	LYS1|LYS12	2
GO:0015819	LYSINE TRANSPORT	RHB1|YHC3	2
GO:0006430	LYSYL-TRNA AMINOACYLATION	KRS1|MSK1	2
GO:0032507	MAINTENANCE OF PROTEIN LOCATION IN CELL	RSR1|TOS2	2
GO:0051237	MAINTENANCE OF RNA LOCATION	PML1|PML39	2
GO:0001193	MAINTENANCE OF TRANSCRIPTIONAL FIDELITY DURING DNA-TEMPLATED TRANSCRIPTION ELONGATION FROM RNA POLYMERASE II PROMOTER	DST1|RPB9	2
GO:0001195	MAINTENANCE OF TRANSCRIPTIONAL FIDELITY DURING DNA-TEMPLATED TRANSCRIPTION ELONGATION FROM RNA POLYMERASE III PROMOTER	NHP6A|NHP6B	2
GO:0006108	MALATE METABOLIC PROCESS	FUM1|MAE1	2
GO:0046354	MANNAN BIOSYNTHETIC PROCESS	MNN2|MNN5	2
GO:0015761	MANNOSE TRANSMEMBRANE TRANSPORT	HXT1|SNF3	2
GO:1904382	MANNOSE TRIMMING INVOLVED IN GLYCOPROTEIN ERAD PATHWAY	MNL1|PDI1	2
GO:0051999	MANNOSYL-INOSITOL PHOSPHORYLCERAMIDE BIOSYNTHETIC PROCESS	CSH1|SUR1	2
GO:0006675	MANNOSYL-INOSITOL PHOSPHORYLCERAMIDE METABOLIC PROCESS	SUR1|TLG2	2
GO:0031382	MATING PROJECTION FORMATION	SPA2|SPH1	2
GO:0044778	MEIOTIC DNA INTEGRITY CHECKPOINT	AMA1|MEC3	2
GO:0007107	MEMBRANE ADDITION AT SITE OF CYTOKINESIS	MYO2|SEC4	2
GO:0097749	MEMBRANE TUBULATION	PEX30|PEX31	2
GO:1903692	METHIONINE IMPORT ACROSS PLASMA MEMBRANE	MUP1|MUP3	2
GO:0006431	METHIONYL-TRNA AMINOACYLATION	MES1|MSM1	2
GO:0032259	METHYLATION	YGR283C|YMR310C	2
GO:0046785	MICROTUBULE POLYMERIZATION	KIP2|STU2	2
GO:0032042	MITOCHONDRIAL DNA METABOLIC PROCESS	HMI1|IRC3	2
GO:0070150	MITOCHONDRIAL GLYCYL-TRNA AMINOACYLATION	GRS1|GRS2	2
GO:0045016	MITOCHONDRIAL MAGNESIUM ION TRANSMEMBRANE TRANSPORT	MFM1|MRS2	2
GO:0000957	MITOCHONDRIAL RNA CATABOLIC PROCESS	DSS1|SUV3	2
GO:0006390	MITOCHONDRIAL TRANSCRIPTION	RPO41|RSF1	2
GO:0070125	MITOCHONDRIAL TRANSLATIONAL ELONGATION	MEF1|TUF1	2
GO:0070126	MITOCHONDRIAL TRANSLATIONAL TERMINATION	MRF1|PTH4	2
GO:0070899	MITOCHONDRIAL TRNA WOBBLE URIDINE MODIFICATION	MSS1|MTO1	2
GO:0034514	MITOCHONDRIAL UNFOLDED PROTEIN RESPONSE	HSP60|TCM62	2
GO:0070584	MITOCHONDRION MORPHOGENESIS	PHB1|UPS3	2
GO:1902404	MITOTIC ACTOMYOSIN CONTRACTILE RING CONTRACTION	ACT1|MYO1	2
GO:1902406	MITOTIC ACTOMYOSIN CONTRACTILE RING MAINTENANCE	CHS2|HOF1	2
GO:0015718	MONOCARBOXYLIC ACID TRANSPORT	AQR1|YBT1	2
GO:0006402	MRNA CATABOLIC PROCESS	EAP1|SSD1	2
GO:0045292	MRNA CIS SPLICING, VIA SPLICEOSOME	CWC15|SNU66	2
GO:0006379	MRNA CLEAVAGE	CFT2|CUE2	2
GO:0010609	MRNA LOCALIZATION RESULTING IN POSTTRANSCRIPTIONAL REGULATION OF GENE EXPRESSION	MIP6|PES4	2
GO:0009299	MRNA TRANSCRIPTION	HST3|HST4	2
GO:0036258	MULTIVESICULAR BODY ASSEMBLY	VPS21|YPT52	2
GO:0015798	MYO-INOSITOL TRANSPORT	ITR1|ITR2	2
GO:0017198	N-TERMINAL PEPTIDYL-SERINE ACETYLATION	ARD1|YIR042C	2
GO:0035352	NAD TRANSMEMBRANE TRANSPORT	YEA6|YIA6	2
GO:0110155	NAD-CAP DECAPPING	DXO1|RAI1	2
GO:0097064	NCRNA EXPORT FROM NUCLEUS	NSP1|NUP159	2
GO:0075297	NEGATIVE REGULATION OF ASCOSPORE FORMATION	MDS3|SUB1	2
GO:0050849	NEGATIVE REGULATION OF CALCIUM-MEDIATED SIGNALING	PHO80|PHO85	2
GO:1900464	NEGATIVE REGULATION OF CELLULAR HYPEROSMOTIC SALINITY RESPONSE BY NEGATIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER	NRG1|NRG2	2
GO:1900060	NEGATIVE REGULATION OF CERAMIDE BIOSYNTHETIC PROCESS	ORM1|ORM2	2
GO:1900186	NEGATIVE REGULATION OF CLATHRIN-DEPENDENT ENDOCYTOSIS	AKL1|PRK1	2
GO:0031138	NEGATIVE REGULATION OF CONJUGATION WITH CELLULAR FUSION	PRR1|PRR2	2
GO:1904524	NEGATIVE REGULATION OF DNA AMPLIFICATION	PNC1|SIR2	2
